hash_email;hash_phone;client_id_carrefour;ville;postal;region;age;genre;segment_carrefour;panier_moy_eur;visites_par_mois;derniere_visite;anciennete_mois;rayon_pref
40d145ab25cbecf0b83b;1d7f2b37b7d3323ad68f;CAR-100001;Grenoble;38000;Auvergne-Rhône-Alpes;35;H;Fidèle;111;2.3;2025-12-17;82;Jardin
b97894b3c14a7a82aa51;2f13461ff323cba8408b;CAR-100002;Nice;06000;PACA;49;F;Occasionnel;36;1.8;2026-01-13;111;Alimentaire
6619f904a14d477d0d05;d463539fb9bffd13115a;CAR-100003;Montpellier;34000;Occitanie;52;H;Occasionnel;41;1.3;2026-03-02;168;Jardin
ffd0124249b7927e35d0;56d4455a54db952f75de;CAR-100004;Rennes;35000;Bretagne;66;F;Occasionnel;70;1.2;2026-02-20;41;Hygiène-Beauté
4982cf67d596513289c2;48e97993c4b99c9e595f;CAR-100005;Lyon;69003;Auvergne-Rhône-Alpes;35;H;Occasionnel;63;0.6;2026-01-24;111;Électronique
30381f9bbcdb1b595980;9ad0fdd07f595bde1a84;CAR-100006;Montpellier;34000;Occitanie;23;F;VIP;325;5.0;2026-01-30;48;Bébé-Enfant
1f401e158d643ae300bb;065cd01d9b69eb1a4723;CAR-100007;Montpellier;34000;Occitanie;43;H;Fidèle;80;2.6;2026-02-01;162;Bébé-Enfant
faf66b9c4689a0db8ccf;589d1ccac4d52dcbf376;CAR-100008;Strasbourg;67000;Grand Est;37;F;Fidèle;102;3.2;2026-03-28;4;Électronique
63c95ac688e2eb486771;2f2fcf4d769cde26a0b2;CAR-100009;Rennes;35000;Bretagne;56;H;VIP;223;6.8;2026-02-20;161;Bébé-Enfant
3b9b4cfbd295ddcc6383;31bc7109d1e3ec3f41b1;CAR-100010;Toulouse;31000;Occitanie;37;H;Nouveau;64;0.4;2026-03-16;7;Jardin
59dc1587f528d07ab837;87d74fcf293f92d562d2;CAR-100011;Strasbourg;67000;Grand Est;36;F;Nouveau;61;1.3;2026-03-06;25;Maison
321ac4dcb22db11ecc69;0aded69a99c59d972d0a;CAR-100012;Rennes;35000;Bretagne;57;H;Occasionnel;57;1.6;2026-01-29;8;Bébé-Enfant
3ea944f8d7889a9b378d;878886b28423d3b4bce4;CAR-100013;Saint-Denis;93200;Île-de-France;34;H;Fidèle;100;2.8;2025-12-29;113;Électronique
c418735f2f6b31bc5e45;846844d6ab2601df3463;CAR-100014;Grenoble;38000;Auvergne-Rhône-Alpes;65;F;Occasionnel;76;1.1;2026-01-11;176;Bébé-Enfant
191d4186ad0c5277402e;da22db9f97a4cc95fb40;CAR-100015;Montpellier;34000;Occitanie;22;H;Occasionnel;33;1.3;2026-02-05;124;Alimentaire
c646e673d59084192436;a79b679fa8b2319f6ced;CAR-100016;Toulouse;31000;Occitanie;34;H;Fidèle;132;2.6;2026-01-25;59;Mode
974ddef59ef12724e1ca;0478acd56ce25d25052f;CAR-100017;Nantes;44000;Pays de la Loire;56;F;Nouveau;62;0.7;2025-12-14;175;Jardin
f125a55d2cae02c7014a;a589eba45a0e884959cf;CAR-100018;Marseille;13008;PACA;68;F;Occasionnel;40;0.6;2026-03-05;43;Mode
914a4a42f3bbcae9cd47;4e1df254ba57ebd4b3de;CAR-100019;Lille;59000;Hauts-de-France;48;H;Fidèle;138;2.1;2026-01-03;43;Hygiène-Beauté
9870c8dbdc7d2d0aebae;593a0180c510154f1520;CAR-100020;Bordeaux;33000;Nouvelle-Aquitaine;19;H;Occasionnel;34;0.7;2026-02-15;93;Bébé-Enfant
6d2facb5a658ec67c802;a59a79f2cde8af5cccb2;CAR-100021;Rennes;35000;Bretagne;26;H;VIP;322;7.5;2025-12-18;120;Bébé-Enfant
5fbf599d975ad02fd3a4;24f8a786825b78edafca;CAR-100022;Lyon;69003;Auvergne-Rhône-Alpes;55;H;Occasionnel;69;1.7;2026-03-09;164;Alimentaire
bf09da0c4faac48a4bdf;7a15f4ed1aec8d9da213;CAR-100023;Marseille;13008;PACA;33;F;Occasionnel;76;1.2;2026-01-07;96;Maison
018f8ea6420719208b7d;b327b4505590b66bbbe3;CAR-100024;Bordeaux;33000;Nouvelle-Aquitaine;33;F;Occasionnel;58;1.8;2026-01-25;46;Alimentaire
094156dede4d81f92384;15c72dd6792b6eee4624;CAR-100025;Marseille;13008;PACA;29;F;Fidèle;121;3.5;2025-12-18;112;Électronique
a4f2cb51140ed751d6f9;192d22c387a4dfb27e7e;CAR-100026;Versailles;78000;Île-de-France;54;F;Nouveau;63;0.2;2026-01-23;20;Alimentaire
