hash_email;hash_phone;client_id_loreal;ville;postal;age;genre;segment_loreal;freq_achat_premium_an;panier_premium_eur;marque_pref;categorie_pref;programme_fidelite;date_1er_achat
48e958bbda2ee9de0c04;9bf8fb9668a68084579f;LOR-500001;Rennes;35000;49;H;Premium;2.3;99;Lancôme;Soin corps;Oui;2024-10-06
2ca758f0bc98187e1b9e;1c6db555ea3ae726a5d6;LOR-500002;Saint-Denis;93200;26;F;Premium;2.7;90;Lancôme;Soin corps;Oui;2023-03-28
56cdc14c2608d2d5b186;8bde01eca06c8c76f2c5;LOR-500003;Toulouse;31000;39;F;Premium;4.3;160;L'Oréal Paris;Soin visage;Oui;2022-02-01
b0a40927deab15d58f45;b184e09510b071861c48;LOR-500004;Nice;06000;63;F;Standard;1.4;62;Yves Saint Laurent;Parfum;Oui;2024-06-10
0b79bf08340cfdce8263;4ee11997eba32e1594e3;LOR-500005;Lyon;69003;43;F;Premium;2.6;139;Lancôme;Cheveux;Oui;2022-09-04
7310c120ffc55a3ded62;a3fee1c5988d42bb9e41;LOR-500006;Versailles;78000;28;H;Prestige;4.1;165;Yves Saint Laurent;Soin corps;Oui;2025-09-02
e7e497c144680a6594b5;814b6b608c8ac0c38ec9;LOR-500007;Lille;59000;28;F;Premium;4.0;155;Lancôme;Soin corps;Oui;2023-09-02
9564112d3e46f34b6f05;c791ed8f8c06a5c7cbd0;LOR-500008;Bordeaux;33000;44;F;Premium;2.1;116;Maybelline;Parfum;Oui;2025-03-04
bbab47ab933cec0cacbb;7590d40a89f68c4e1620;LOR-500009;Grenoble;38000;36;F;Standard;1.0;63;Vichy;Cheveux;Oui;2025-01-07
84dea630fccdff162591;16c422ea158c75012fd3;LOR-500010;Saint-Denis;93200;71;F;Premium;2.5;157;Maybelline;Parfum;Oui;2025-07-27
e3bf8668b38d19a2114f;59ab790e6b9bb0a28f41;LOR-500011;Bordeaux;33000;45;F;Premium;2.2;82;Vichy;Soin corps;Oui;2022-05-11
4ffb5d06c28efd79794f;48e71fabfdb7892ee8d0;LOR-500012;Paris;75012;65;F;Standard;0.9;42;Lancôme;Solaire;Non;2024-10-08
2b790f1ed77e91cbe260;3ba7f7184f22afba234e;LOR-500013;Toulouse;31000;62;H;Premium;2.2;153;Yves Saint Laurent;Parfum;Oui;2022-05-20
6fff1c04969534e967f8;1299dd8de01881f0ef6a;LOR-500014;Strasbourg;67000;26;F;Standard;1.6;85;Maybelline;Solaire;Oui;2022-04-15
7eb1e7e339e1e04a21b2;0d7837020c1c67b6737c;LOR-500015;Lyon;69003;30;F;Standard;1.3;61;Kiehl's;Maquillage;Oui;2024-01-16
7853f1b509b5a24ec80f;33dd963da95204f2cf8d;LOR-500016;Montpellier;34000;27;F;Premium;2.6;106;L'Oréal Paris;Cheveux;Non;2022-10-15
712986ff556180859f7c;b8dae8a19bef0a0963e8;LOR-500017;Paris;75012;18;F;Standard;1.1;48;Garnier;Soin corps;Non;2023-02-03
e29f88ff9d167bc203af;095b9db3c32d2a53034c;LOR-500018;Versailles;78000;37;H;Premium;3.7;113;Yves Saint Laurent;Maquillage;Oui;2025-03-04
f797538a57c3b776af6b;1b16be8b573f3c5e2e5d;LOR-500019;Paris;75012;24;F;Prestige;6.2;290;Yves Saint Laurent;Cheveux;Oui;2024-05-18
6691ce4239e3bc005ca7;ad214412532dc67a1541;LOR-500020;Strasbourg;67000;29;H;Premium;3.1;109;La Roche-Posay;Soin corps;Oui;2023-01-26
f7695fdc76985a9e4880;a8a7fb9c88ea44324cbe;LOR-500021;Lyon;69003;39;H;Prestige;6.7;186;L'Oréal Paris;Cheveux;Oui;2022-11-22
bee547e85a1bdfde3cff;97374705484df30b17b0;LOR-500022;Strasbourg;67000;35;H;Prestige;4.8;182;Garnier;Maquillage;Oui;2025-10-22
46f669f71a7c3bd1961a;d3b13ab6db2e77def1ac;LOR-500023;Versailles;78000;43;F;Découverte;0.7;25;Vichy;Soin visage;Oui;2025-01-16
da96bb9a2a03da2ece0b;1710d5d1c776d9af3133;LOR-500024;Grenoble;38000;45;F;Découverte;0.9;41;Vichy;Parfum;Oui;2025-10-26
e56dbf498330a63c48b3;e97d7c6bb613dda937b4;LOR-500025;Bordeaux;33000;41;H;Découverte;0.7;60;Vichy;Soin corps;Non;2023-12-09
